
DESKTOP-Q5FK1MJ

"Nombre del ordenador:","DESKTOP-Q5FK1MJ"
"APIC On Chip / PGE (AMD)","Presente"
"Fast System Call","Presente"
"Memory Type Range Registers","Presente"
"Page Global Feature","Presente"
"Machine Check Architecture","Presente"
"CMOV Instruction","Presente"
"Page Attribute Table","Presente"
"36-bit Page Size Extensions","Presente"
"Processor Number","No presente"
"CLFLUSH Instruction","Presente"
"Debug Trace and EMON Store","Presente"
"Internal ACPI Support","Presente"
"MMX Technology","Presente"
"Fast FP Save/Restore (IA MMX-2)","Presente"
"Streaming SIMD Extensions","Presente"
"Streaming SIMD Extensions 2","Presente"
"Self-Snoop","Presente"
"Multi-Threading Capable","Presente"
"Automatic Clock Control","Presente"
"IA-64 Processor","No presente"
"Signal Break on FERR","Presente"
"Virtual Machine Extensions (VMX)","Presente"
"Safer Mode Extensions (Intel TXT)","No presente"
"Streaming SIMD Extensions 3","Presente"
"Supplemental Streaming SIMD Extensions 3","Presente"
"Streaming SIMD Extensions 4.1","Presente"
"Streaming SIMD Extensions 4.2","Presente"
"AVX Support","Presente"
"Fused Multiply Add (FMA)","No presente"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Presente"
"CMPXCHG16B Support","Presente"
"MOVBE Instruction","No presente"
"POPCNT Instruction","Presente"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Presente"
"XGETBV/XSETBV OS Enabled","Presente"
"Float16 Instructions","No presente"
"AES Cryptography Support","No presente"
"Random Number Read Instruction (RDRAND)","No presente"
"Extended xAPIC","No presente"
"MONITOR/MWAIT Support","Presente"
"Thermal Monitor 2","Presente"
"Enhanced SpeedStep Technology","Presente"
"L1 Context ID","No presente"
"Send Task Priority Messages Disabling","Presente"
"Processor Context ID","Presente"
"Direct Cache Access","No presente"
"TSC-deadline Timer","Presente"
"Performance/Debug Capability MSR","Presente"
"IA32 Debug Interface Support","No presente"
"64-Bit Debug Store","Presente"
"CPL Qualified Debug Store","Presente"
"64-bit Extensions","Presente"
"RDTSCP and TSC_AUX Support","Presente"
"1 GB large page support","No presente"
"No Execute","Presente"
"SYSCALL/SYSRET Support","Presente"
"Bit Manipulation Instructions Set 1","No presente"
"Bit Manipulation Instructions Set 2","No presente"
"Advanced Vector Extensions 2 (AVX2)","No presente"
"Advanced Vector Extensions 512 (AVX-512) Foundation","No presente"
"AVX-512 Prefetch Instructions","No presente"
"AVX-512 Exponential and Reciprocal Instructions","No presente"
"AVX-512 Conflict Detection Instructions","No presente"
"AVX-512 Doubleword and Quadword Instructions","No presente"
"AVX-512 Byte and Word Instructions","No presente"
"AVX-512 Vector Length Extensions","No presente"
"AVX-512 52-bit Integer FMA Instructions","No presente"
"Secure Hash Algorithm (SHA) Extensions","No presente"
"Software Guard Extensions (SGX) Support","No presente"
"Supervisor Mode Execution Protection (SMEP)","No presente"
"Supervisor Mode Access Prevention (SMAP)","No presente"
"Hardware Lock Elision (HLE)","No presente"
"Restricted Transactional Memory (RTM)","No presente"
"Memory Protection Extensions (MPX)","No presente"
"Read/Write FS/GS Base Instructions","No presente"
"Enhanced Performance String Instruction","No presente"
"INVPCID Instruction","No presente"
"RDSEED Instruction","No presente"
"Multi-precision Add Carry Instructions (ADX)","No presente"
"PCOMMIT Instructions","No presente"
"CLFLUSHOPT Instructions","No presente"
"CLWB Instructions","No presente"
"TSC_THREAD_OFFSET","No presente"
"Platform Quality of Service Monitoring (PQM)","No presente"
"Platform Quality of Service Enforcement (PQE)","No presente"
"FPU Data Pointer updated only on x87 Exceptions","No presente"
"Deprecated FPU CS and FPU DS","No presente"
"Intel Processor Trace","No presente"
"PREFETCHWT1 Instruction","No presente"
"AVX-512 Vector Bit Manipulation Instructions","No presente"
"AVX-512 Vector Bit Manipulation Instructions 2","No presente"
"AVX-512 Galois Fields New Instructions","No presente"
"AVX-512 Vector AES","No presente"
"AVX-512 Vector Neural Network Instructions","No presente"
"AVX-512 Bit Algorithms","No presente"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","No presente"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","No presente"
"User-Mode Instruction Prevention","No presente"
"Protection Keys for User-mode Pages","No presente"
"OS Enabled Protection Keys","No presente"
"Wait and Pause Enhancements (WAITPKG)","No presente"
"Total Memory Encryption","No presente"
"Key Locker","No presente"
"57-bit Linear Addresses, 5-level Paging","No presente"
"Read Processor ID","No presente"
"Bus Lock Debug Exceptions","No presente"
"Cache Line Demote","No presente"
"MOVDIRI: Direct Stores","No presente"
"MOVDIR64B: Direct Stores","No presente"
"ENQCMD: Enqueue Stores","No presente"
"SGX Launch Configuration","No presente"
"Protection Keys for Supervisor-Mode Pages","No presente"
"Control-Flow Enforcement Technology (CET) Shadow Stack","No presente"
"Attestation Services for Intel SGX","No presente"
"AVX-512 4 x Vector Neural Network Instructions Word Variable Precision","No presente"
"AVX-512 4 x Fused Multiply Accumulation Packed Single Precision","No presente"
"Fast Short REP MOV","No presente"
"User Interrupts","No presente"
"AVX-512 VP2INTERSECT Support","No presente"
"AVX-512 FP16","No presente"
"MD_CLEAR Support","Presente"
"IA32_MCU_OPT_CTRL MSR Support","No presente"
"Restricted Transactional Memory (RTM) Always Abort","No presente"
"Restricted Transactional Memory (RTM) Force Abort","No presente"
"SERIALIZE","No presente"
"Hybrid Processor","No presente"
"TSX Suspend Load Address Tracking","No presente"
"Platform Configuration (PCONFIG)","No presente"
"Architectural LBRs","No presente"
"Indirect Branch Restricted Speculation (IBRS), Indirect Branch Predictor Barrier (IBPB)","Presente"
"Single Thread Indirect Branch Predictors (STIBP)","Presente"
"L1D_FLUSH Support","Presente"
"IA32_ARCH_CAPABILITIES MSR","No presente"
"IA32_CORE_CAPABILITIES MSR","No presente"
"Speculative Store Bypass Disable (SSBD)","Presente"
"Control-Flow Enforcement Technology (CET) Indirect Branch Tracking","No presente"
"Advanced Matrix Extensions (AMX) Tile Architecture","No presente"
"Advanced Matrix Extensions (AMX) bfloat16 Support","No presente"
"Advanced Matrix Extensions (AMX) 8-bit Integer Operations","No presente"
"Advanced Matrix Extensions (AMX) FP16 Instructions","No presente"
"AVX (VEX-encoded) Vector Neural Network Instructions","No presente"
"AVX-512 BFLOAT16 Instructions","No presente"
"Fast Zero-Length MOVSB","No presente"
"Fast Short STOSB","No presente"
"Fast Short CMPSB, SCASB","No presente"
"History Reset","No presente"
"Linear Address Masking","No presente"
"RAO-INT Instructions","No presente"
"CMPccXADD Instructions","No presente"
"WRMSRNS Instruction","No presente"
"AVX-IFMA Instructions","No presente"
"RD/WR MSRLIST Instructions","No presente"
"Protected Processor Inventory Number (IA32_PPIN) Support","No presente"
"AVX-VNNI-INT8 Instructions","No presente"
"AVX-NE-CONVERT Instructions","No presente"
"PREFETCHIT0/1 Instructions","No presente"
"CET Supervisor Shadow-Stack","No presente"
"Thermal Monitor 1:","Soportado, Activado"
"Thermal Monitor 2:","Soportado, Activado"
"Enhanced Intel SpeedStep (GV3):","Soportado, Activado"
"Bi-directional PROCHOT#:","Activado"
"Extended Auto-HALT State C1E:","Activado"
"MLC Streamer Prefetcher","Soportado, Activado"
"MLC Spatial Prefetcher","Soportado, Activado"
"DCU Streamer Prefetcher","Soportado, Activado"
"DCU IP Prefetcher","Soportado, Activado"
"Intel Dynamic Acceleration (IDA) Technology:","No soportado"
"Intel Dynamic FSB Switching:","No soportado"
"Intel Turbo Boost Technology:","No soportado"
"Programmable Ratio Limits:","No soportado"
"Programmable TDC/TDP Limits:","Soportado, Deshabilitado"
"Hardware Duty Cycling:","No soportado"
"Intel Speed Select:","No soportado"
"Internal Graphics:","Soportado"
"2 DIMMS per Channel:","No soportado"
"VT-d:","No soportado"
"ECC:","No soportado"
"DDR3 Frequency Support:","667 MHz (DDR3-1333)"
"Tamaño máximo de dirección física:","36-bit (64 GBytes)"
"Tamaño máximo de dirección virtual:","48-bit (256 TBytes)"
"Range 0-100000000 (0MB-4096MB) Type:","Write Back (WB)"
"Range 100000000-120000000 (4096MB-4608MB) Type:","Write Back (WB)"
"Range DB800000-DC000000 (3512MB-3520MB) Type:","Uncacheable (UC)"
"Range DC000000-E0000000 (3520MB-3584MB) Type:","Uncacheable (UC)"
"Range E0000000-100000000 (3584MB-4096MB) Type:","Uncacheable (UC)"
"Range 11FE00000-120000000 (4606MB-4608MB) Type:","Uncacheable (UC)"

Tarjeta madre

"Nombre de la marca de la computadora:","Desconocido o sin nombre"
"Modelo de placa base:","Intel DH61WW"
"Chipset de la placa base:","Intel H61 (Cougar Point)"
"Ranuras para placa base:","1xPCI, 2xPCI Express x1, 1xPCI Express x16"
"Versión de PCI Express admitida:","v2.0"
"Versión USB admitida:","v2.0"
"USB Port Count:","10 ports"
"RAID Capability:","No soportado"
"SATA Ports 2 and 3:","No soportado"
"SATA Port 1 6 Gb/s:","No soportado"
"SATA Port 0 6 Gb/s:","No soportado"
"PCI Interface:","No soportado"
"PCI Express Ports 5 and 6:","Soportado"
"USB Redirect (USBr):","No soportado"
"Intel Anti-Theft Technology:","Soportado"
"PCI Express Ports 7 and 8:","No soportado"
"PCH Integrated Graphics Support:","Soportado"
"Data Center Manageability Interface (DCMI):","Soportado"
"Node Manager:","Soportado"
"Fabricante de BIOS:","American Megatrends"
"Fecha de BIOS:","01/18/2011"
"Versión de BIOS:","BEH6110H.86A.0016.2011.0118.1128"
"UEFI BIOS:","Capaz"
"Chip Super-IO / LPC:","Winbond W83676HG/W83677HG/NCT6771F/2F/5F [B]"
"Chip del módulo de plataforma segura (TPM):","Not Found"

Dispositivos ACPI


Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0454 - 0457"
"I/O Port:","0454 - 0457"

Programmable interrupt controller

"Nombre del dispositivo:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"IRQ:","65792"
"I/O Port:","0020 - 0021"
"I/O Port:","00A0 - 00A1"

System timer

"Nombre del dispositivo:","System timer"
"I/O Port:","0040 - 0043"
"I/O Port:","0040 - 0043"
"IRQ:","0"

High precision event timer

"Nombre del dispositivo:","High precision event timer"
"Ubicación de la memoria:","FED00000 - FED003FF"
"Ubicación de la memoria:","FED00000 - FED003FF"

Direct memory access controller

"Nombre del dispositivo:","Direct memory access controller"
"I/O Port:","0089 - 008B"
"DMA:","4"
"I/O Port:","0000 - 000F"
"I/O Port:","0081 - 0083"
"I/O Port:","0087"
"I/O Port:","0089 - 008B"
"I/O Port:","008F"
"I/O Port:","00C0 - 00DF"
"DMA:","4"

Puerto de impresora

"Nombre del dispositivo:","Puerto de impresora"
"I/O Port:","0378 - 037F"
"I/O Port:","0378 - 037F"
"IRQ:","5"
"I/O Port:","0378 - 037F"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","0278 - 027F"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","03BC - 03BF"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","0378 - 037F"
"I/O Port:","0278 - 027F"
"I/O Port:","03BC - 03BF"

Puerto de comunicaciones

"Nombre del dispositivo:","Puerto de comunicaciones"
"I/O Port:","03F8 - 03FF"
"I/O Port:","03F8 - 03FF"
"IRQ:","4"
"I/O Port:","03F8 - 03FF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","02F8 - 02FF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","03E8 - 03EF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","02E8 - 02EF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"

System speaker

"Nombre del dispositivo:","System speaker"
"I/O Port:","0061"
"I/O Port:","0061"

PCI Express Root Complex

"Nombre del dispositivo:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"I/O Port:","03B0 - 03DF"
"Ubicación de la memoria:","000A0000 - 0009FFFF"
"I/O Port:","0000 - 03AF"
"I/O Port:","03E0 - 0CF7"
"I/O Port:","03B0 - 03DF"
"I/O Port:","0D00 - FFFF"
"Ubicación de la memoria:","000A0000 - 000BFFFF"
"Ubicación de la memoria:","000C0000 - 000DFFFF"
"Ubicación de la memoria:","DFA00000 - FFFFFFFF"

System CMOS/real time clock

"Nombre del dispositivo:","System CMOS/real time clock"
"I/O Port:","0070 - 0071"
"I/O Port:","0070 - 0071"
"IRQ:","8"

System board

"Nombre del dispositivo:","System board"
"I/O Port:","0400 - 0453"
"Ubicación de la memoria:","FED1C000 - FED1FFFF"
"I/O Port:","0400 - 0453"
"I/O Port:","0458 - 047F"
"I/O Port:","1180 - 119F"
"I/O Port:","0500 - 057F"
"Ubicación de la memoria:","FED1C000 - FED1FFFF"
"Ubicación de la memoria:","FEC00000 - FECFFFFF"
"Ubicación de la memoria:","FED08000 - FED08FFF"
"Ubicación de la memoria:","FF000000 - FFFFFFFF"

System board

"Nombre del dispositivo:","System board"
"Ubicación de la memoria:","FED10000 - FED19FFF"
"Ubicación de la memoria:","FED10000 - FED19FFF"
"Ubicación de la memoria:","F8000000 - FBFFFFFF"
"Ubicación de la memoria:","FED90000 - FED93FFF"
"Ubicación de la memoria:","FED20000 - FED3FFFF"
"Ubicación de la memoria:","FEE00000"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0010 - 001F"
"I/O Port:","0065 - 006F"
"I/O Port:","0088"
"Ubicación de la memoria:","00000000 - 0000008F"
"I/O Port:","0010 - 001F"
"I/O Port:","0022 - 003F"
"I/O Port:","0044 - 005F"
"I/O Port:","0062 - 0063"
"I/O Port:","0065 - 006F"
"I/O Port:","0072 - 007F"
"I/O Port:","0080"
"I/O Port:","0084 - 0086"
"I/O Port:","0088"
"I/O Port:","008C - 008E"
"I/O Port:","0090 - 009F"
"I/O Port:","00A2 - 00BF"
"I/O Port:","00E0 - 00EF"
"I/O Port:","04D0 - 04D1"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0778 - 077F"
"I/O Port:","0778 - 077F"

Numeric data processor

"Nombre del dispositivo:","Numeric data processor"
"I/O Port:","00F0 - 00FF"
"I/O Port:","00F0 - 00FF"
"IRQ:","13"

SMBIOS DMI


BIOS

"Fabricante de BIOS:","Intel Corp."
"Versión de BIOS:","BEH6110H.86A.0016.2011.0118.1128"
"Fecha de lanzamiento del BIOS:","01/18/2011"
"Segmento de inicio de BIOS:","F000"
"Tamaño de la BIOS:","F000"
"ISA Support:","No presente"
"MCA Support:","No presente"
"EISA Support:","No presente"
"PCI Support:","Presente"
"PC Card (PCMCIA) Support:","No presente"
"Plug-and-Play Support:","No presente"
"APM Support:","No presente"
"Flash BIOS:","Presente"
"BIOS Shadow:","Presente"
"VL-VESA Support:","No presente"
"ESCD Support:","No presente"
"Boot from CD:","Presente"
"Selectable Boot:","Presente"
"BIOS ROM Socketed:","Presente"
"Boot from PC Card:","No presente"
"EDD Support:","Presente"
"NEC PC-98 Support:","No presente"
"ACPI Support:","Presente"
"USB Legacy Support:","Presente"
"AGP Support:","No presente"
"I2O Boot Support:","No presente"
"LS-120 Boot Support:","No presente"
"ATAPI ZIP Drive Boot Support:","No presente"
"IEE1394 Boot Support:","No presente"
"Smart Battery Support:","No presente"
"BIOS Boot Specification Support:","Presente"
"Function key-initiated Network Service Boot Support:","No presente"
"Targeted Content Distribution Support:","Presente"
"UEFI Specification Support:","No presente"
"Virtual Machine:","No presente"

Procesador

"Fabricante del procesador:","Intel Corporation"
"Processor Version:","Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz        "
"Frecuencia externa:","100 MHz"
"Frecuencia máxima admitida:","4000 MHz"
"Frecuencia actual:","3100 MHz"
"Zócalo de CPU:","Poblada"
"Estado de la CPU:","Activado"
"Tipo de procesador:","Procesador central"
"Voltaje del procesador:","1.7 V"
"Actualización del procesador:","Socket LGA1156"
"Designación de enchufe:","LGA1155 CPU 1"

L1-Cache

"Designación de enchufe:","L1-Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L1 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Ninguna"
"Tamaño máximo de caché:","32 KBytes"
"Tamaño de caché instalado:","None"
"Asociatividad de caché:","8-way Set-Associative"

L2-Cache

"Designación de enchufe:","L2-Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L2 Unified"
"Esquema de caché:","Write-Through and Write-Back"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Ninguna"
"Tamaño máximo de caché:","512 KBytes"
"Tamaño de caché instalado:","None"
"Asociatividad de caché:","8-way Set-Associative"

L3-Cache

"Designación de enchufe:","L3-Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L3 Unified"
"Esquema de caché:","Unknown"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Ninguna"
"Tamaño máximo de caché:","3072 KBytes"
"Tamaño de caché instalado:","None"
"Asociatividad de caché:","Unknown"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) HD Graphics Device"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) 82579V Gigabit Network Device"
"Tipo de dispositivo:","Ethernet Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) High Definition Audio Device"
"Tipo de dispositivo:","Audio Device"
"Estado del dispositivo:","Activado"

Cadenas de texto OEM



Opciones de configuración del sistema



Idioma del BIOS



Información de arranque del sistema

"Estado de arranque:","No ocurrió ningún error"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) HD Graphics Device"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) 82579V Gigabit Network Device"
"Tipo de dispositivo:","Ethernet Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) High Definition Audio Device"
"Tipo de dispositivo:","Audio Device"
"Estado del dispositivo:","Activado"

tarjeta madre

"Fabricante de la placa base:","Intel Corporation"
"Nombre de la placa base:","DH61WW"
"Versión de la placa base:","AAG23116-202"
"Número de serie de la placa base:","BTWW1110069N"
"Asset Tag:","To be filled by O.E.M."
"Ubicación en el chasis de la:","To be filled by O.E.M."

Caja del sistema

"Fabricante:","                                 "
"Tipo de caja:","Desktop"
"Versión:","                                 "
"Número de serie:","                                 "
"Asset Tag Number:","                                 "

Sistema

"Fabricante del sistema:",""
"Nombre del producto:",""
"Version del producto:",""
"Número de serie del producto:",""
"UUID:","{3A9B836F-C44A-E011-9CDA-0050BF20DC86}"
"SKU Number:",""
"Family:",""

Dispositivos de memoria


Matriz de memoria física

"Ubicación de la matriz:","System board"
"Uso de matriz:","System memory"
"Método de detección de errores:","Ninguna"
"Capacidad de memoria:","8 GBytes"
"Dispositivos de memoria:","2"

32-bit Memory Error Information


Memory Array Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","003FFFFF"
"Ancho de partición:","1"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","4096 MBytes"
"Factor de forma del dispositivo:","DIMM"
"Localizador de dispositivos:","DIMM1"
"Bank Locator:","Channel A DIMM 0"
"Tipo de dispositivo:","DDR3 SDRAM"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","1600 MHz"
"Fabricante:","Undefined       "
"Número de serie:","4219809A  "
"Número de parte:","RMR5030EF68F9W1600"
"Asset Tag:","A1_AssetTagNum0"

32-bit Memory Error Information


Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","003FFFFF"
"Partition Row Position:","1"
"Interleave Position:","Non-interleaved"
"Interleave Data Depth:","0"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","0 MBytes"
"Factor de forma del dispositivo:","DIMM"
"Localizador de dispositivos:","DIMM2"
"Bank Locator:","Channel B DIMM 0"
"Tipo de dispositivo:","Unknown"
"Detalle del tipo de dispositivo:","Synchronous"
"Fabricante:","A1_Manufacturer1"
"Número de serie:","A1_SerNum1"
"Número de parte:","Array1_PartNumber1"
"Asset Tag:","A1_AssetTagNum1"

32-bit Memory Error Information


Conectores de puerto


Mouse Port

"Tipo de puerto:","Mouse Port"
"Referencia interna:","J1A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","PS2Mouse"
"Tipo de conector externo:","PS/2"

Keyboard Port

"Tipo de puerto:","Keyboard Port"
"Referencia interna:","J1A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Keyboard"
"Tipo de conector externo:","PS/2"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J2A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","TV Out"
"Tipo de conector externo:","Mini-Centronics Type-14"

Serial Port 16550A Compatible

"Tipo de puerto:","Serial Port 16550A Compatible"
"Referencia interna:","J2A2A"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","COM A"
"Tipo de conector externo:","DB-9 pin male"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","J2A2B"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Video"
"Tipo de conector externo:","DB-15 pin female"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB1"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB2"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB3"
"Tipo de conector externo:","Access Bus (USB)"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9A1 - TPM HDR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9C1 - PCIE DOCKING CONN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J2B3 - CPU FAN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J6C2 - EXT HDMI"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J3C1 - GMCH FAN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J1D1 - ITP"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E2 - MDC INTPSR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E4 - MDC INTPSR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E3 - LPC HOT DOCKING"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E1 - SCAN MATRIX"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
